"times","which.cup"
"73'",1990
"58'",1990
"83' (pen.)",1990
"58'",1990
"71'",1990
"11'",1990
"44'",1994
"39'",1994
"43'",1994
"15'",1994
"89'",1994
"34'",1994
"35'",1994
"16'",1994
"52'",1994
"65'",1994
"72'",1994
"35' (o.g.)",1994
"52'",1994
"90'",1994
"44'",1994
"90'",1994
"18'",1994
"31'",1994
"47'",1994
"8'",1994
"75'",1994
"26'",1994
"52' (pen.)",1994
"39'",1994
"66'",1994
"73'",1994
"37' (pen.)",1994
"59'",1994
"81'",1994
"4' (pen.)",1994
"15'",1994
"41'",1994
"44' (pen.)",1994
"72'",1994
"75'",1994
"81'",1994
"46'",1994
"46'",1994
"23'",1994
"61'",1994
"51'",1994
"55'",1994
"85'",1994
"90'",1994
"48'",1994
"14'",1994
"67'",1994
"19' (pen.)",1994
"66'",1994
"70'",1994
"12'",1994
"37'",1994
"20'",1994
"52'",1994
"63'",1994
"2'",1994
"44'",1994
"90' (pen.)",1994
"60'",1994
"21'",1994
"43'",1994
"55'",1994
"21'",1994
"28'",1994
"8'",1994
"5' (pen.)",1994
"55' (pen.)",1994
"65'",1994
"90'",1994
"61'",1994
"90+3'",1994
"45+2'",1994
"90+5'",1994
"11'",1994
"84'",1994
"69'",1994
"42'",1994
"65'",1994
"84'",1994
"48'",1994
"57'",1994
"11'",1994
"50'",1994
"86'",1994
"18'",1994
"65'",1994
"7' (pen.)",1994
"45'",1994
"26'",1994
"5'",1994
"47'",1994
"43'",1994
"77'",1994
"5'",1998
"74' (o.g.)",1998
"38' (pen.)",1998
"37'",1998
"60'",1998
"45+1' (o.g.)",1998
"61'",1998
"66'",1998
"46'",1998
"9'",1998
"45+2'",1998
"50'",1998
"23'",1998
"85'",1998
"46'",1998
"78'",1998
"83'",1998
"89' (pen.)",1998
"11'",1998
"84' (pen.)",1998
"45+3'",1998
"48'",1998
"77'",1998
"90+1'",1998
"70'",1998
"90+2'",1998
"7'",1998
"75'",1998
"89'",1998
"48'",1998
"90'",1998
"90+2' (pen.)",1998
"20'",1998
"56'",1998
"69'",1998
"36'",1998
"77' (o.g.)",1998
"90+2'",1998
"51'",1998
"12'",1998
"37'",1998
"78'",1998
"68'",1998
"85'",1998
"12' (pen.)",1998
"56'",1998
"42' (pen.)",1998
"18'",1998
"90+3' (pen.)",1998
"45+2' (pen.)",1998
"74' (pen.)",1998
"21'",1998
"47'",1998
"24'",1998
"73' (o.g.)",1998
"78'",1998
"28'",1998
"11'",1998
"1'",1998
"58'",1998
"86'",1998
"6' (pen.)",1998
"18'",1998
"55'",1998
"81'",1998
"88' (o.g.)",1998
"90+4'",1998
"58'",1998
"27'",1998
"50'",1998
"75'",1998
"84'",1998
"42'",1998
"47'",1998
"55' (pen.)",1998
"62'",1998
"37'",1998
"41'",1998
"71'",1998
"80'",1998
"83'",1998
"4'",1998
"18'",1998
"75'",1998
"90+4'",1998
"7'",1998
"72'",1998
"73'",1998
"10'",1998
